"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code",Births
,"2021","2021","Arkansas","05","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",733
,"2021","2021","Arkansas","05","Cesarean","2","Yes","1","Unknown or Not Stated","9",96
,"2021","2021","Arkansas","05","Cesarean","2","No","2","Underweight <18.5","1",141
,"2021","2021","Arkansas","05","Cesarean","2","No","2","Normal 18.5-24.9","2",1852
,"2021","2021","Arkansas","05","Cesarean","2","No","2","Overweight 25.0-29.9","3",1718
,"2021","2021","Arkansas","05","Cesarean","2","No","2","Obesity I 30.0-34.9","4",1425
,"2021","2021","Arkansas","05","Cesarean","2","No","2","Obesity II 35.0-39.9","5",910
,"2021","2021","Arkansas","05","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",941
,"2021","2021","Arkansas","05","Cesarean","2","No","2","Unknown or Not Stated","9",270
,"2021","2021","California","06","Vaginal","1","Yes","1","Underweight <18.5","1",146
,"2021","2021","California","06","Vaginal","1","Yes","1","Normal 18.5-24.9","2",3079
,"2021","2021","California","06","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",2524
,"2021","2021","California","06","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",1538
,"2021","2021","California","06","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",599
,"2021","2021","California","06","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",316
,"2021","2021","California","06","Vaginal","1","Yes","1","Unknown or Not Stated","9",201
,"2021","2021","California","06","Vaginal","1","No","2","Underweight <18.5","1",8177
,"2021","2021","California","06","Vaginal","1","No","2","Normal 18.5-24.9","2",119576
,"2021","2021","California","06","Vaginal","1","No","2","Overweight 25.0-29.9","3",78396
,"2021","2021","California","06","Vaginal","1","No","2","Obesity I 30.0-34.9","4",42372
,"2021","2021","California","06","Vaginal","1","No","2","Obesity II 35.0-39.9","5",17674
,"2021","2021","California","06","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",9296
,"2021","2021","California","06","Vaginal","1","No","2","Unknown or Not Stated","9",7091
,"2021","2021","California","06","Vaginal","1","Unknown or Not Stated","9","Underweight <18.5","1",15
,"2021","2021","California","06","Vaginal","1","Unknown or Not Stated","9","Normal 18.5-24.9","2",112
,"2021","2021","California","06","Vaginal","1","Unknown or Not Stated","9","Overweight 25.0-29.9","3",42
,"2021","2021","California","06","Vaginal","1","Unknown or Not Stated","9","Obesity I 30.0-34.9","4",16
,"2021","2021","California","06","Vaginal","1","Unknown or Not Stated","9","Unknown or Not Stated","9",31
,"2021","2021","California","06","Cesarean","2","Yes","1","Underweight <18.5","1",758
,"2021","2021","California","06","Cesarean","2","Yes","1","Normal 18.5-24.9","2",15926
,"2021","2021","California","06","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",16172
,"2021","2021","California","06","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",11809
,"2021","2021","California","06","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",6399
,"2021","2021","California","06","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",4833
,"2021","2021","California","06","Cesarean","2","Yes","1","Unknown or Not Stated","9",1500
,"2021","2021","California","06","Cesarean","2","No","2","Underweight <18.5","1",1504
,"2021","2021","California","06","Cesarean","2","No","2","Normal 18.5-24.9","2",25857
,"2021","2021","California","06","Cesarean","2","No","2","Overweight 25.0-29.9","3",19618
,"2021","2021","California","06","Cesarean","2","No","2","Obesity I 30.0-34.9","4",12390
,"2021","2021","California","06","Cesarean","2","No","2","Obesity II 35.0-39.9","5",6405
,"2021","2021","California","06","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",4531
,"2021","2021","California","06","Cesarean","2","No","2","Unknown or Not Stated","9",1679
,"2021","2021","Colorado","08","Vaginal","1","Yes","1","Underweight <18.5","1",35
,"2021","2021","Colorado","08","Vaginal","1","Yes","1","Normal 18.5-24.9","2",647
,"2021","2021","Colorado","08","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",452
,"2021","2021","Colorado","08","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",248
,"2021","2021","Colorado","08","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",100
,"2021","2021","Colorado","08","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",72
,"2021","2021","Colorado","08","Vaginal","1","Yes","1","Unknown or Not Stated","9",72
,"2021","2021","Colorado","08","Vaginal","1","No","2","Underweight <18.5","1",1285
,"2021","2021","Colorado","08","Vaginal","1","No","2","Normal 18.5-24.9","2",20287
,"2021","2021","Colorado","08","Vaginal","1","No","2","Overweight 25.0-29.9","3",11521
,"2021","2021","Colorado","08","Vaginal","1","No","2","Obesity I 30.0-34.9","4",5574
,"2021","2021","Colorado","08","Vaginal","1","No","2","Obesity II 35.0-39.9","5",2364
,"2021","2021","Colorado","08","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",1374
,"2021","2021","Colorado","08","Vaginal","1","No","2","Unknown or Not Stated","9",1695
,"2021","2021","Colorado","08","Cesarean","2","Yes","1","Underweight <18.5","1",86
,"2021","2021","Colorado","08","Cesarean","2","Yes","1","Normal 18.5-24.9","2",1916
,"2021","2021","Colorado","08","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",1657
,"2021","2021","Colorado","08","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",1117
,"2021","2021","Colorado","08","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",577
,"2021","2021","Colorado","08","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",450
